Metric,Value
Original Accuracy,0.9654750992972808
Final Accuracy,0.9340054995417049
Accuracy Drop,0.03146959975557595
Initial ASR,0.5300947143293614
Final ASR,0.5627864344637947
ASR Improvement,0.03269172013443333
Bits Flipped,7.0
Execution Time (s),522.0077092647552
