Layer,Parameter,Bit Position,Original Value,New Value
fc3,"(np.int64(0), np.int64(7))",30,0.08481482416391373,2.886098911647977e+37
fc3,"(np.int64(1), np.int64(23))",29,-0.06697910279035568,-3.630944437821677e-21
