Metric,Value
Original Accuracy,1.0
Final Accuracy,0.685
Accuracy Drop,0.31499999999999995
Initial ASR,0.5
Final ASR,0.815
ASR Improvement,0.31499999999999995
Bits Flipped,2.0
Execution Time (s),21.281235694885254
