Layer,Parameter,Bit Position,Original Value,New Value
fc3,"(np.int64(0), np.int64(7))",30,0.08481482416391373,2.886098911647977e+37
fc3,"(np.int64(0), np.int64(29))",26,-0.01003057137131691,-3.918191941920668e-05
