Metric,Value
Original Accuracy,0.9654750992972808
Final Accuracy,0.8854262144821264
Accuracy Drop,0.08004888481515438
Initial ASR,0.5300947143293614
Final ASR,0.611365719523373
ASR Improvement,0.08127100519401165
Bits Flipped,12.0
Execution Time (s),878.9958429336548
